name,type,place,remark
琵琶露5瓶, 药品,304-31 ,
扑热息痛5板, 药品,304-31 ,
眼药水2瓶, 药品,304-31 ,
酒精一点点, 药品,304-31 ,
酒精消毒片1盒, 药品,304-31 ,
碘伏1瓶, 药品,304-31 ,
发胶1瓶, 药品,304-31 ,
地衣芽孢杆菌胶囊1盒, 药品,304-31 ,
绷带1卷, 药品,304-31 ,
云南白药红白各一瓶, 药品,304-31 ,
蒙脱石散1盒, 药品,304-31 ,
美辛唑酮1盒, 药品,304-31 ,
创可贴3片, 药品,304-31 ,
注入器3个, 药品,304-31 ,
医用胶带1卷, 药品,304-31 ,
VC1瓶, 药品,304-31 ,
香菇菌多糖片1瓶, 药品,304-31 ,
红霉素软膏1管, 药品,304-31 ,
痔疮膏1管, 药品,304-31 ,
烧伤膏2管, 药品,304-31 ,
西瓜霜1瓶, 药品,304-31 ,
鼻炎水, 药品,304-31 ,
51单片机学习板, 模块,304-32 ,
PCF8591(AD/DA转换), 模块,304-32 ,
传感器模块3144, 模块,304-32 ,
继电器HF46F, 模块,304-32 ,
SRD, 模块,304-32 ,
T40/E变压器, 模块,304-32 ,
12V辅助供电, 模块,304-32 ,
55g舵机, 模块,304-32 ,
扬声器, 模块,304-32 ,
LED驱动, 模块,304-32 ,
无线充电, 模块,304-32 ,
单路延时继电器, 模块,304-32 ,
互感器, 模块,304-32 ,
单项DC滤波器, 模块,304-32 ,
ADS1256, 模块,304-32 ,
电压互感器, 模块,304-32 ,
电流传感器, 模块,304-32 ,
表头, 模块,304-32 ,
摇杆, 模块,304-32 ,
互感器模块, 模块,304-32 ,
2587辅助供电, 模块,304-32 ,
317整流桥, 模块,304-33 ,
LCD1602, 模块,304-33 ,
电压表头, 模块,304-33 ,
射频放大器, 模块,304-33 ,
TDA7266, 模块,304-33 ,
PCA9685I2C中继器, 模块,304-33 ,
HC05蓝牙, 模块,304-33 ,
EG8010逆变控制板, 模块,304-33 ,
HI-LINKAC AC/DC DC, 模块,304-33 ,
恒压恒流太阳能充电, 模块,304-33 ,
升压模块, 模块,304-33 ,
功放PAM8403, 模块,304-33 ,
液晶模块, 模块,304-33 ,
红外避障模块, 模块,304-33 ,
超声波模块, 模块,304-33 ,
指纹识别模块, 模块,304-33 ,
降压模块, 模块,304-33 ,
磁悬浮线圈, 模块,304-33 ,
超声波模块, 模块,304-33 ,
8位数码管, 模块,304-33 ,
红外避障模块, 模块,304-33 ,
Flash储存器模块, 模块,304-33 ,
TB6560电机驱动, 模块,304-33 ,
降压模块, 模块,304-33 ,
typec转hdmi转换器, 模块,304-33 ,
LED PMU模块, 模块,304-33 ,
两叶螺旋桨, 模块,304-33 ,
716空心杯/电机, 模块,304-33 ,
磁悬浮线圈, 模块,304-33 ,
超声波模块, 模块,304-33 ,
9位数码管, 模块,304-33 ,
红外避障模块, 模块,304-33 ,
Flash储存器模块, 模块,304-33 ,
TB6561电机驱动, 模块,304-33 ,
降压模块, 模块,304-33 ,
typec转hdmi转换器, 模块,304-33 ,
LED PMU模块, 模块,304-33 ,
矩阵按键, 模块,304-33 ,
TC35开发板, 模块,304-33 ,
数字表头, 模块,304-33 ,
恒温晶振, 模块,304-33 ,
视觉模块, 模块,304-33 ,
蓝屏显示屏, 模块,304-33 ,
CH340USB转TTL, 模块,304-33 ,
人体红外检测模块, 模块,304-33 ,
热像仪模块, 模块,304-33 ,
STM开发板, 模块,304-33 ,
仪表放大器, 模块,304-33 ,
TLC5615数模转换模块, 模块,304-33 ,
手机平板显示屏拆机翘片工具（部分缺失）, NA,304-29 ,
超声波清洁器, NA,304-29 ,
电线保护绝缘套管, NA,304-29 ,
助焊膏×3, NA,304-29 ,
护目镜, NA,304-29 ,
51单片机开发板, NA,304-29 ,
笔记本支架, NA,304-29 ,
paid支架×2, NA,304-29 ,
迷你工作钳台, NA,304-29 ,
LED恒温加热平板, NA,304-29 ,
锡丝卷×2, NA,304-29 ,
订书钉, NA,304-29 ,
镊子, NA,304-29 ,
尼龙内齿轴套, NA,304-29 ,
AD8132, NA,304-2B ,
肖特基二极管×3, NA,304-2B ,
UFL板端贴片座, NA,304-2B ,
A71-02-26 ×50, NA,304-2B ,
SMD-8, NA,304-2B ,
25MHZ 3.3V 晶振×2, NA,304-2B ,
芯片F1c2005, NA,304-2B ,
功率电感2.2uH×2, NA,304-2B ,
电路IC开关HC4051M, NA,304-2B ,
2.54 2pin端子×2, NA,304-2B ,
AMS1117 3.3V ×6, NA,304-2B ,
MOS管SOT23×8, NA,304-2B ,
HDMI接口镀金, NA,304-2B ,
50kΩ电位器×3, NA,304-2B ,
一袋大小不一的电阻, NA,304-2B ,
1uF0805贴片电容, NA,304-2B ,
47uF100V直插电容, NA,304-2B ,
排针16pin×2, NA,304-2B ,
DC-DC电源芯片 C73334 2个, NA,304-2B ,
I53螺丝×200, NA,304-2B ,
LCD屏幕带排针, NA,304-2B ,
铜柱×7, NA,304-2B ,
晶振24MHz×3, NA,304-2B ,
内存颗粒×3, NA,304-2B ,
WS2812LED灯珠×5, NA,304-2B ,
EA3036C三路电源管理芯片, NA,304-2B ,
1808快断一次性保险丝12.5V 0.5A 三个, NA,304-2B ,
AS5600磁编码器, NA,304-2B ,
10pin排针×3, NA,304-2B ,
0603贴片蓝色LED×18, NA,304-2B ,
贴片电容0402 1kΩ ×8, NA,304-2B ,
USB芯片CH340, NA,304-2B ,
TDA2030A 一袋, NA,304-2B ,
BTN7971B MOS驱动芯片, NA,304-2B ,
0.5mm-24pinFPC连接器上接, NA,304-2B ,
0.5mm-24pinFPC连接器下接×2, NA,304-2B ,
耳机接口×11, NA,304-2B ,
直插旋钮×4, NA,304-2B ,
16pin typeC插座, NA,304-2B ,
按钮×9, NA,304-2B ,
LM324×6, NA,304-2B ,
钽电容47uF ×27, NA,304-2B ,
MPY634 模拟乘法器, NA,304-2B ,
LED×9, NA,304-2B ,
电线 一袋, NA,304-2B ,
10pin typeC接口, NA,304-2B ,
DF12D（3.0）- 60DP-0.5V（81）, NA,304-2B ,
按钮×20, NA,304-2B ,
33uH电感×4, NA,304-2B ,
NE55 ×5, NA,304-2B ,
接口芯片MAX495 一条, NA,304-2B ,
CH444G 低阻模拟开关 ×2, NA,304-2B ,
LM324 一条, NA,304-2B ,
一条LED灯珠, NA,304-2B ,
HMC1022分布式功率放大器, NA,304-2B ,
旋钮 x1, NA,304-2B ,
AO3400 场效应管一条, NA,304-2B ,
一袋不明板子, NA,304-2B ,
两颗32GB SD卡, NA,304-2B ,
不明板子+2, NA,304-2B ,
一双手套, NA,304-2B ,
数码管两个, NA,304-2C ,
0603 10kΩ 贴片电阻一条, NA,304-2C ,
WIFI蓝牙模块11个, NA,304-2C ,
保险丝0.5A 6V10个, NA,304-2C ,
16pin排针四个, NA,304-2C ,
一盒手套, NA,304-2C ,
耳机接口5个, NA,304-2C ,
锂电池防爆箱, 锂电池防爆箱,304-2A ,
2.4V快充HC1325电容式钛酸锂电池, 锂电池防爆箱,304-2A ,
收纳箱, 锂电池防爆箱,304-2A ,
2盘紫铜线, 锂电池防爆箱,304-2A ,
4把雨伞, 锂电池防爆箱,304-2A ,
放大镜, 锂电池防爆箱,304-2A ,
保鲜袋, 锂电池防爆箱,304-2A ,
不明布料, 锂电池防爆箱,304-2A ,
板子若干, 锂电池防爆箱,304-2A ,
游戏手柄, 锂电池防爆箱,304-2A ,
尼龙扎带, NA,304-19 ,
热熔胶棒, NA,304-19 ,
热熔胶枪, NA,304-19 ,
护目镜, NA,304-19 ,
独石电容104, NA,304-19 ,
热缩管, NA,304-19 ,
钳子, NA,304-19 ,
4P胶壳插头, NA,304-19 ,
按动钢笔, NA,304-19 ,
防水姓名贴, NA,304-19 ,
棉绳, NA,304-19 ,
锂电池防爆箱, NA,304-1A ,
2.4V快充HC1325电容式钛酸锂电池, NA,304-1A ,
收纳箱, NA,304-1A ,
2盘紫铜线, NA,304-1A ,
4把雨伞, NA,304-1A ,
放大镜, NA,304-1A ,
保鲜袋, NA,304-1A ,
不明布料, NA,304-1A ,
板子若干, NA,304-1A ,
游戏手柄, NA,304-1A ,
铜线, NA,304-1B ,
小车残品, NA,304-1B ,
未拆封和已使用的板子若干, NA,304-1B ,
缠绕管, NA,304-1B ,
ST-LINK, NA,304-1B ,
虚鲲玩偶, NA,304-1B ,
小车配件若干, NA,304-1B ,
